uf,profissional,metrica_1,metrica_2
BA,b'gAAAAABlvSCBI_4FO4p1r433syVY067NCHMuhr2FT3fQWH4qP5HZWfui1b1U770nA1RDDYJiBfavj88V1CCahlkF00KwMHEC_aCCOFZ4gCMheJsSqFj2EDw=',2,9
BA,b'gAAAAABlvSCBzqJv9YcJ3fxjx2V7X27abRVoGwkRWx3V1JTkgDCukyPDJIN6uPVwUcZcsQgMe0TXG5TP8mEZkcIpRsuTzLGthFKob2SuelMlCiFR37RCQc0=',6,3
BA,b'gAAAAABlvSCBxDAHvm5k4RrE8q4TBJre0q4goSEpC7V567lKG3ZdylPDjDEZFFM66-ja3pmrq0KOlXCZ9DJ8IjzUkE0nkxb1ObrKt3BpVYUC6uAJrHe9Hgo=',2,9
BA,b'gAAAAABlvSCBVnGl1ARtKbltN3SjhC7KHE-A5p6XWHKJNSNKIuLlOp3elpVxKfJjxkfKwoyvM4anq15NZ6JZOXsguRmvlUcfSARYnrqQsKYFdFE01WydPCA=',6,0
BA,b'gAAAAABlvSCBb4tCKLk0ZxhaCFgtvShNMzlVA8hoME9ZQZAjkYrr7uq6989OltdlqS13dT94VJI70Me_b2XQKN4TCVgpB-iHTlvsDeOUlcWf1izVghzWoMQ=',8,6
BA,b'gAAAAABlvSCB3yf6BPM6VSi8ZgPXUV5tqdshuGwMgRMwK_fDPRlQcklEkZklT2TplPTdE6PAdmP1ueMJfO6ibPG9J8u18gVlCmj5SR9Af3zirAX_1PpXpkc5qO7S7ovlCvReU6J0s2id',7,4
BA,b'gAAAAABlvSCBFjmMGHckoOZv_z8mJUBujFQXW8Hx42t_02p7H7Tauf1zlSlWIdaoccX1-qHe3MiXaCsfhZuTT8BY2O_-BlP54r7YG4zWe-OzdeEBGHpiMHk=',1,8
BA,b'gAAAAABlvSCBNiJsY1ywhdjpEdV-bvnales-y9my8IOxL7RJyo_Wyd2JmnBHPT4C9suIe5afop3tF7WZk8YBNOOVDVDCU-6Wtf76GoGujMg1adJzxdAp5Rk=',3,8
BA,b'gAAAAABlvSCBVtn2WSJZG4sjbRz-lTn9FXZeXHJnc0-BnnkTOUdL9A4vXZB3oah7QMkXYQ9SRi1iRhPTEn9JvaLjX7G7X3qdXdKxrwSrZLruQGqt-7OAnSs=',0,6
BA,b'gAAAAABlvSCBemI2HQHXiCiaephtLbf7HzmlFD3tGntoxdSymD6xWhT_buKtwjVXMfr-dlDaHZ-dpl_kZbtgMTT9B0YN4-jThMWWPmRgS557fYkDGYEX2XY=',1,6
BA,b'gAAAAABlvSCB7CCI3gkYarVPKTPLRCacCa3zlDmZLRFY8oMIfOujQ5ZJTh_BLoplST83rKuI-zPSAOmU1MQ8Y2-ogsDLSfR67r7n1XpkPYmZ3Ixr1fsdPe8=',8,9
BA,b'gAAAAABlvSCBR3MOjSGDvBGk4SNhAT9q030Ofmfr-yAQ3m7QkmXOgRW7ZnhhBB3UbppveRqZqGtH7W8FL3PH51Gf-cjDnhN0-KiGO8zkFvpNIXLiURYnbwM=',8,4
BA,b'gAAAAABlvSCBU54uQvB5VHwYfvDZM_QQF7pY79Chf-EOiD7JaXG13rGP9r0ZrOBA8ioPSx0159gFTyCkpP8TssmMVdM5sWUxIY8BoRLYHNs-V2D81otDSQE=',1,5
BA,b'gAAAAABlvSCB01BIwORLzi6FVAbZigptKy18L76D8wNGGeuNY9hZK0lBha9EvbJhGFbmegQCJRwNxab0ocFDuOkMbhlyVCimSn0gkrRlz-lYCJpDVwG52XY=',89,13
BA,b'gAAAAABlvSCBFcH-hXg1HKoZa9eomMtWkdEPSo30koVSPAkSqAZGwjWZYBjynPJG2QGPSbvOsavAxERNGFS3fKXwXsKhFx0I0ojTotE_ksxaX_XEtTVRAavRR3PRePdl8Ue2aXfZG3vr',6,9
BA,b'gAAAAABlvSCB6ayLCjGjbTkXiTQ_afkQ9861azW0R-ogGg19Uz4GKVCTg2kXocPLUEutbHMqmS03BWthCm6EkSorzpjaK5m3b9ELE4xHh2KjKq-zsuBc248=',9,46
BA,b'gAAAAABlvSCBEtMW-T_W8hva8WQ630xhOFZBIf7RrHZ0m_m4KfPpI1wDPN4sKz57HK5_uoOGCeLRYW6PS7lZTAo11mpdzdAn_GXLgz5pmTcUpGmWENIZquk=',8,7
BA,b'gAAAAABlvSCBq4kPbV-JokkWCRL69xdj7lyrASET3pO31N3MMevDeRRSVRlc8HK_OoYUQh2cwQUmXvBIc7vdKwuamdYp49q6VwXhSCoqdyFZyUjQQkbEoTM=',9,2
BA,b'gAAAAABlvSCBrfBO8eFkZtUXrzNcAiT_KNHoZWodMiXJX6V0KnW53CFhr2nCCvcBl5qOt4MKvuJIMV8jW_7lHfSGSChU8qdlQtA6wFLW1bBc4kEprh64nIU=',8,3
BA,b'gAAAAABlvSCBad7ydBiPY5V5wdzclf-bAMDCJ-NqIYNpOTmCy9w77YVH0vPkZOgxZNE3HLjdZuKK8_vEbd4kWpNxUqKpShXiwCTFxLghYHX3YwQmZ1jM1a1BwFJWcdqtwyanAps3aRGh',3,2
BA,b'gAAAAABlvSCBZ5WfmS4au_K_ja-lV6iNZGeIMpyki_hk5QnioV4rSwsZPrtv4It3KxRLMseKMJUOo5TaJDBrtI5mMEzUtLs_UCmTyooYL9HFi9hFvRXvOwU=',69,70
BA,b'gAAAAABlvSCBX-hKajgiYKUI6ZWsS1f1bGmX7s79MRveuFRvDgdywuHDm1LhY2HEZGQ_MrR9neOxlJTPUdUGNToRcCsQFF7CXXbhZLOjGXcKW7NFBYxgZsrPK2AgGllAuGpE9XOo1ORL',6,5
BA,b'gAAAAABlvSCB_P5nHujZmcMlSiI7maLLv7HwyU_z0RBhJf4eM-M6alr8dgHteG1VAKghg7EUw_l4mpUjrFnqeR8pUHJrAyJkE2LnY7dzhI_JRG6LjQNs-OE=',3,1
BA,b'gAAAAABlvSCBmNTz1wGyEKi_etxtUFNx9fRzEo6bVp_ZQD-4nE4IvzRqBbDnPJKwnq3xaz6ujNy1gUMaYYNOX-PeGBnwNLW0lFxD0rm7lE4MNjaVrGe44ZYa_ZxYfQQPRBZ6jETvgchv',3,1
BA,b'gAAAAABlvSCBaji6JuH8KLLddgR6Z9n5V0sdOgT2UI7VpTt8hEsaOuH-wp7qRsiKTfh-DTzXrkh-_tL0HJWFsNDzO2aoFNUtF9znUA1neRGBp5MpLCTT-T0KQZvWwXUk2wN5BHKjO9bm',2,1
BA,b'gAAAAABlvSCBxYVrU3XpStzA2y1YK8OkC0nfE0ozujORheBiNTOKrSmNWz767ciOeKN_oyvplSY7wZxf62g8dSm0GvBjlV9TpNwQe0XtV9VY3jXtK3JJEYg=',1,1
BA,b'gAAAAABlvSCBAtTg0nuI68q1-l1omSwKZACi-cUjfEhbCdeoSf2eWn7Uow04Y_4rysotlF2YwYPeOX9KqGye8r22zTL0D38rz5Wevcm9BLL-gkdWJHHss6k=',5,7
BA,b'gAAAAABlvSCBn8LAVUlVXYFAIMN9fI6x9mrROncgsUOrJe8dckeuQIzy03Ncq4OFpmeOJlXqOsSPHD9TOP223bw3qQhMMS2ScI39zceGfCCIWKNxRGChefY=',3,1
BA,b'gAAAAABlvSCBJHfpAqVZPZVBZJFwl1SBF3ZkgR7PFXdjB2HCIxiRQ9mmKJ6EH1p7Oeql1VxIfqr7x1yGtKXWqkrOV0nfPWXIiKf333_aD_ctjtRx8RopN9Q=',4,1
BA,b'gAAAAABlvSCBsUNpx_O7sGonq_wlguBgyaQHD4eczGKWK12Oo2GgsyijROL8YGFGrsH-UMH7jKmMLVrI79a8aRpxhkGjpbJGdYL2DwVovp_PeMBfbSbEVrA=',7,0
BA,b'gAAAAABlvSCBR1WAVteu--MazpeEOhUBO_d6tVV13IgvpmiXl2DrA3qS0_gkV18nmaxX4ZP4Bvt4Vr6FNSv3OxHD9Y_872fHRmCmyPO8hdZrc3dcf64TLEg=',2,8
BA,b'gAAAAABlvSCBlvCsCMIPogjEWA3qUJs60mpsZJWuu7iM7DIovyZ93JNgwIChLlx-mc-wfyVlPr0DO5MPEWRZfTlZBuJ6OnFh3EnxLMBXUOqT_PY5q0V3kk0=',5,4
BA,b'gAAAAABlvSCB7CTuyfO-QI6XVQK2ts4qh4u8-fJpEYJClV4XPSDN8KGPCP0LDJNG7bp1ia8BLCOg8f7Zc7-kmc5ENu1DGZ0e9N6NwylQSVAccOGinIuSn8Epc22-dvXxdybblgb1ix5q',9,5
BA,b'gAAAAABlvSCBjEdORXYl9MLq8IrKxJWDw2wmIgP0zRFCDPC5-o8ZB0JP2IOHZMaLEYn7Sjkjr1Kmaps9WgeADYoFTA48vkYAymgxEhyEWCbXXK8yZkr-mdM=',1,0
BA,b'gAAAAABlvSCBvxX3s2yIL0r3Y_563Qxiiw3l4vNqS_NWxK-TW-EOLHiyfjk_j5Z4Je_km-h9luVoQhop2XbazcOWzEaW_Z4ENGwIC0eprRIoKIbvrIXDxBM=',3,4
BA,b'gAAAAABlvSCBDDalwKK3c91AgXT7VfhCyEkq5_JntYgbBF1my1_UQmbG-GTKLTe8q62lsM6KO0vOBuJ0Yi2rfSAWvaEhiW4L3odj1x84A1EY2ZeD3TVnzDo=',7,8
BA,b'gAAAAABlvSCBiBBVtmGsCo6LwEVusekAJncwIGw3lzi50xYzT-oYhj-yYt9sJZqRhhkAseoUtxUS0WBESJtsFBXVPytGHzhCniAHKKaNx08oC8GZzp9yF2M=',2,7
BA,b'gAAAAABlvSCBjyLuj-4NEjTvZi9gEyf-q4CrfG2ngAaoFjn_00fik3FCu12EcEIwkWxHQrPk1SaD3pEKsKcUyywDT2xF8yE-gUupXF399KsA1l9Y3G7kVXE=',9,2
BA,b'gAAAAABlvSCB4RPJMh8OGRCk9UyhaVgR4otvytKWYMeOOXj3_ip-lqB_7VvShkS1ku8oemAwdKAhI-afDKdK2yZHDSLXqigzEhBx3x-GcC0BcFnRZKFJ9iw=',95,49
BA,b'gAAAAABlvSCBWpARuvWywqpBpiUNH26Vy8oQVPrSbRPn0L88PO01NoFQJM1eacYNQAZz1F3E3Ihiw_4tE-BbZYlRFXqCOnUi_TQA15PubmH2M50vuq1k1xo=',7,4
BA,b'gAAAAABlvSCBHLJoF7AkUidRRC3bfsurgQfYObB7AmZ0zVuaZwTLuWrIu-r3eRX0TznHVIGFuoL7J_dt6zLPCfQHeCzdovxTpGcLhGMua6fMPY3PNTvR08U=',0,3
